age,gender,is_war,opinion_war,region_text,confidence_gov_media,confidence_casualties,confidence_civillian_casualties,assignment_started_time,assignment_submitted_time
young,woman,uncertain,negative,Россия,negative,negative,uncertain,1646066198.673,1646066223.245
young,man,yes,negative,Бобров,positive,positive,yes,1646066199.188,1646066218.564
young,man,yes,positive,чита,positive,positive,yes,1646066200.95,1646066228.847
young,woman,yes,negative,Анапа,positive,uncertain,no,1646066203.081,1646066326.788
young,woman,yes,negative,Стерлитамак ,negative,negative,no,1646066203.392,1646066248.165
young,woman,uncertain,positive,Свердловская область,positive,positive,yes,1646066204.51,1646066289.056
young,woman,uncertain,negative,москва,negative,uncertain,uncertain,1646066205.423,1646066246.537
young,man,yes,positive,Свердловская область,positive,negative,uncertain,1646066213.756,1646066256.532
young,man,yes,positive,Москва,positive,positive,yes,1646066216.713,1646066256.532
young,man,yes,negative,Ульяновск,negative,negative,no,1646066222.636,1646066258.135
kid,woman,yes,positive,Ульяновск,positive,negative,yes,1646066224.057,1646066305.77
kid,woman,yes,negative,Санкт-Петербург ,positive,negative,uncertain,1646066227.303,1646066269.821
young,man,uncertain,negative,Фролово,positive,uncertain,uncertain,1646066227.457,1646066292.569
young,man,yes,positive,Домодедово ,negative,uncertain,yes,1646066229.155,1646066297.297
young,man,uncertain,positive,Саратов,positive,uncertain,uncertain,1646066230.264,1646066271.104
young,man,uncertain,positive,москва,negative,uncertain,uncertain,1646066231.058,1646066275.186
young,woman,yes,negative,Муром,negative,negative,no,1646066239.416,1646066270.153
kid,man,uncertain,positive,Ярославлская область,positive,uncertain,yes,1646066241.712,1646066290.074
young,woman,uncertain,positive,иваново,positive,positive,yes,1646066266.548,1646066324.303
young,man,yes,positive,Смоленск,negative,negative,yes,1646066267.637,1646066314.121
young,woman,yes,positive,Например ,positive,uncertain,uncertain,1646066273.851,1646066375.967
young,man,no,negative,Челябинск,negative,negative,no,1646066275.756,1646066317.476
young,woman,uncertain,negative,Иваново,positive,uncertain,uncertain,1646066277.771,1646066317.84
young,man,uncertain,positive,Москва,positive,uncertain,uncertain,1646066328.067,1646066385.492
kid,woman,yes,negative,Уфа,positive,positive,no,1646066329.641,1646066361.492
kid,man,yes,positive,Московская область,negative,uncertain,yes,1646066339.699,1646066382.689
young,woman,uncertain,negative,Новгород,negative,uncertain,uncertain,1646066362.083,1646066408.915
young,woman,no,positive,Сочи,negative,positive,yes,1646066363.634,1646066401.815
young,woman,uncertain,positive,Москва,positive,uncertain,yes,1646066363.202,1646066470.778
young,woman,yes,negative,Ростовская обл,positive,uncertain,yes,1646066364.731,1646066482.989
kid,woman,yes,negative,Самара,negative,uncertain,no,1646066366.466,1646066439.818
kid,man,no,positive,Сасово,positive,positive,no,1646066370.297,1646066389.456
young,man,uncertain,negative,Омск,negative,uncertain,uncertain,1646066371.378,1646066410.006
young,woman,uncertain,negative,Башкортостан,negative,negative,no,1646066380.642,1646066435.61
young,woman,uncertain,positive,Владимир,positive,uncertain,yes,1646066389.656,1646066429.61
young,woman,yes,negative,Казань,negative,negative,no,1646066398.343,1646066476.71
young,man,yes,negative,Москва/Ижевск (На 2 города),negative,negative,no,1646066409.633,1646066447.146
young,woman,uncertain,positive,Московская область,negative,positive,yes,1646066413.673,1646066453.875
kid,woman,uncertain,positive,Воронеж ,positive,uncertain,yes,1646066418.406,1646066470.723
aged,woman,uncertain,positive,Казань,negative,negative,uncertain,1646066420.458,1646066475.4
young,man,no,positive,Коаснодао,positive,positive,yes,1646066421.141,1646066488.729
young,woman,yes,negative,Татарстан,negative,negative,no,1646066441.096,1646066471.05
young,man,yes,negative,Набережные Челны,negative,negative,no,1646066467.5,1646066491.469
kid,woman,no,negative,владимир ,negative,uncertain,no,1646066468.703,1646066538.057
kid,man,uncertain,negative,Магнитогорск,positive,uncertain,uncertain,1646066482.796,1646066552.122
young,woman,yes,positive,Москва ,negative,negative,no,1646066488.494,1646066528.244
kid,man,yes,positive,Санкт Петербург ,positive,positive,yes,1646066517.577,1646066586.865
young,man,uncertain,negative,Москва,positive,uncertain,yes,1646066526.126,1646066584.455
young,woman,uncertain,negative,москва,negative,negative,uncertain,1646066531.987,1646066550.416
kid,man,uncertain,negative,Москва ,negative,uncertain,uncertain,1646066535.219,1646066596.076
young,woman,no,positive,Нижний Новгород,positive,positive,yes,1646066544.657,1646066589.492
young,man,no,positive,Таганрог,positive,negative,yes,1646066554.842,1646066590.812
kid,woman,uncertain,negative,Донецк ,negative,negative,no,1646066570.247,1646066658.296
kid,woman,yes,positive,Щитьд,positive,negative,yes,1646066572.2,1646066607.523
kid,woman,yes,negative,Москва,negative,uncertain,no,1646066578.012,1646066637.762
young,man,uncertain,negative,Воронеж,positive,uncertain,uncertain,1646066580.28,1646066639.751
young,woman,uncertain,negative,Москва,positive,uncertain,uncertain,1646066581.443,1646066645.044
young,man,no,positive,Тамбов,positive,negative,yes,1646066582.449,1646066624.996
young,woman,yes,negative,владимир,negative,negative,no,1646066583.902,1646066617.218
young,woman,yes,negative,Санкт-Петербург,negative,negative,no,1646066585.528,1646066623.185
young,woman,uncertain,negative,Джанкой ,negative,negative,uncertain,1646066587.561,1646066689.174
young,man,uncertain,positive,Волгоград,positive,uncertain,yes,1646066619.425,1646066677.816
young,woman,yes,negative,Владимир,negative,uncertain,no,1646066642.571,1646066684.878
young,man,yes,negative,Россия,positive,positive,uncertain,1646066645.051,1646066693.127
young,woman,yes,negative,Москва,negative,negative,no,1646066648.757,1646066691.511
young,woman,uncertain,negative,москва,negative,negative,uncertain,1646066656.868,1646066665.843
young,woman,yes,negative,Москва ,negative,negative,no,1646066664.035,1646066697.431
young,woman,uncertain,positive,Нижний Новгород ,positive,uncertain,yes,1646066679.224,1646066872.442
young,man,yes,negative,Тюмень,negative,uncertain,yes,1646066682.67,1646066725.364
kid,man,uncertain,negative,Екатеринбург ,positive,uncertain,uncertain,1646066692.93,1646066777.754
young,woman,yes,negative,екатеринбург,negative,negative,yes,1646066695.843,1646066729.682
young,man,yes,negative,Тула,negative,uncertain,yes,1646066714.213,1646066777.259
young,man,yes,negative,Оренбургская область,negative,uncertain,no,1646066719.36,1646066929.32
young,woman,uncertain,negative,Владимирская область,negative,negative,no,1646066724.157,1646066821.18
young,man,no,positive,Саратовская область,positive,positive,yes,1646066746.827,1646066773.377
kid,man,uncertain,positive,Москва ,positive,positive,uncertain,1646066747.169,1646066786.164
young,woman,uncertain,negative,Чувашская республика ,negative,uncertain,uncertain,1646066759.098,1646066833.449
young,man,uncertain,negative,Старая Ладога,positive,uncertain,yes,1646066769.423,1646066843.995
young,woman,yes,negative,Ставрополь,negative,negative,no,1646066770.666,1646066815.606
young,woman,uncertain,positive,Москва,negative,positive,uncertain,1646066788.423,1646066892.806
kid,man,no,negative,Москва ,negative,uncertain,uncertain,1646066793.664,1646066841.955
young,man,yes,negative,Тольятти,negative,negative,uncertain,1646066800.379,1646066835.404
young,man,yes,positive,Казань,positive,negative,no,1646066835.998,1646066951.661
young,man,yes,positive,Брянская область ,positive,negative,no,1646066835.162,1646066899.195
young,woman,no,negative,Санкт-Петербург,negative,negative,no,1646066839.365,1646066903.098
young,woman,uncertain,positive,Макеевка,positive,positive,yes,1646066863.976,1646066921.611
young,woman,uncertain,negative,Петропавловск-камчатский,negative,negative,yes,1646066882.799,1646066952.891
kid,man,no,positive,Иваново,negative,negative,no,1646066889.144,1646066924.16
kid,man,no,positive,пк,positive,positive,yes,1646066913.661,1646066936.29
young,woman,uncertain,positive,Республика Коми,negative,uncertain,yes,1646066977.151,1646067030.975
young,man,uncertain,positive,Ковров,positive,uncertain,uncertain,1646066986.193,1646067040.254
young,man,yes,negative,Череповец,negative,negative,yes,1646066999.09,1646067044.673
young,woman,yes,negative,Санкт-Петербург ,positive,uncertain,yes,1646067014.322,1646067069.741
kid,woman,uncertain,negative,Дагестан,negative,negative,no,1646067026.319,1646067080.505
young,man,yes,positive,Бишкек,negative,positive,no,1646067035.948,1646067091.877
kid,man,yes,positive,Тула,positive,positive,yes,1646067056.779,1646067105.508
young,woman,yes,negative,нижний новгород,negative,uncertain,no,1646067111.116,1646067171.545
kid,man,no,negative,Дорогорское,negative,uncertain,no,1646067115.037,1646067222.542
kid,woman,uncertain,positive,Новгородская область,positive,uncertain,yes,1646067137.142,1646067199.12
kid,woman,uncertain,negative,Самара,negative,uncertain,no,1646067143.233,1646067200.112
young,woman,uncertain,positive,Москва,positive,uncertain,yes,1646067149.945,1646067248.683
young,man,yes,negative,Свердловская область,negative,uncertain,no,1646067152.434,1646067199.523
young,woman,no,positive,Армавир,positive,uncertain,yes,1646067187.143,1646067235.658
young,woman,yes,negative,Пермь,positive,uncertain,uncertain,1646067204.961,1646067286.639
kid,woman,yes,negative,Сухой Лог,positive,uncertain,uncertain,1646067205.551,1646067247.563
kid,man,no,positive,Уфа,positive,positive,yes,1646067208.314,1646067247.613
young,man,uncertain,negative,Москвп,positive,uncertain,yes,1646067283.401,1646067336.505
young,man,yes,negative,Киров,negative,negative,no,1646067302.86,1646067330.258
young,woman,uncertain,negative,Москва,positive,uncertain,uncertain,1646067306.94,1646067381.939
young,woman,no,positive,Москва,negative,negative,yes,1646067334.931,1646067371.767
kid,woman,uncertain,positive,Пенза,positive,positive,yes,1646067343.374,1646067402.832
kid,woman,no,positive,Москва ,negative,negative,yes,1646067360.191,1646067434.737
kid,man,uncertain,positive,Москва ,positive,uncertain,yes,1646067402.455,1646067447.617
young,woman,yes,negative,Нижний Новгород ,negative,negative,no,1646067419.282,1646067474.148
kid,man,uncertain,negative,Тольятти,negative,uncertain,uncertain,1646067435.171,1646067489.172
young,man,yes,negative,Бийск,negative,uncertain,no,1646067445.182,1646067486.624
kid,man,uncertain,positive,Москва,positive,uncertain,no,1646067476.571,1646067629.581
kid,woman,no,positive,Самара ,positive,uncertain,yes,1646067477.162,1646067546.25
kid,woman,no,negative,москва,negative,uncertain,yes,1646067485.862,1646067521.976
young,woman,no,positive,Москва,positive,positive,yes,1646067504.547,1646067579.77
young,man,no,negative,тульская область,negative,positive,no,1646067535.432,1646067595.127
kid,woman,no,positive,Тула,positive,uncertain,no,1646067541.525,1646067584.095
kid,man,yes,positive,Череповец,negative,uncertain,yes,1646067569.871,1646067613.266
kid,man,uncertain,positive,Москва ,negative,positive,uncertain,1646067585.338,1646067609.757
kid,man,yes,positive,Черкесск ,negative,uncertain,uncertain,1646067681.088,1646067723.806
kid,man,no,negative,«Каспийск»,negative,uncertain,uncertain,1646067683.729,1646067745.563
young,man,yes,negative,Новосибирск,negative,negative,yes,1646067732.155,1646067781.148
young,woman,uncertain,positive,Краснодар,negative,uncertain,yes,1646067733.901,1646067778.579
young,woman,no,positive,Курган ,positive,negative,yes,1646067769.889,1646067830.062
young,man,uncertain,negative,Волгоград,negative,uncertain,uncertain,1646067787.161,1646067825.729
kid,man,uncertain,negative,Казань,negative,uncertain,no,1646067790.364,1646067819.454
kid,woman,uncertain,positive,Тольятти,positive,uncertain,yes,1646067791.058,1646067830.987
young,man,uncertain,positive,Гулькевичи,positive,positive,yes,1646067795.715,1646067849.868
